"gam" "nu"
0.94 0.36
0.05 0.16
0.01 0.59
0.99 0.81
0.51 0.63
0.34 0.99
0.53 0.66
0.95 0.85
0.97 0.87
0.66 0.36
0.06 0.19
0.21 0.95
0.48 0.79
0.7 0.5
0.67 0.7
0.18 0.15
0.55 0.19
0.72 0.58
0.55 0.83
0.74 0.56
0.98 0.9
0.04 0.94
0.2 0.65
0.95 0.29
0.03 0.11
0.14 0.43
0.89 0.04
0.81 0.01
0.57 0.43
0.8 0.94
0.26 0.38
0.07 0.96
0.32 0.51
0.32 0.11
0.95 0.68
0.75 0.59
0.04 0.73
0.69 0.52
0.83 0.42
0.44 0.62
0.83 0.52
0.11 0.53
0.84 0.91
0.86 0.53
0.49 0.28
0.39 0.51
0.76 0.79
0.65 0.44
0.81 0.36
0.46 0.16
0.19 0.06
0.44 0.46
0.67 0.12
0.03 0.22
0.51 0.26
0.03 0.81
0.96 0.11
0.01 0.95
0.92 0.28
0.1 0.31
0.53 0.29
0.78 0.46
0.66 0.62
0.91 0.36
0.86 0.7
0.29 0.87
0.52 0.4
0.7 0.8
0.68 0.04
0.11 0.7
0.04 0.41
0.83 0.05
0.78 0.81
0.55 0.31
0.98 0.52
0.4 0.2
0.08 0.04
0.63 0.98
0.44 0.9
0.23 0.07
0.71 0.1
0.41 0.75
0.58 0.12
0.61 0.83
0.35 0.56
0.84 0.47
0.1 0.71
0.67 0.07
0.9 0.75
0.13 0.49
0.34 0.68
0.28 0.82
0.08 0.23
0.38 0.91
0.66 0.72
0.12 0.49
0.59 0.86
0.8 0.55
0.74 0.97
0.29 0.68
0.75 0.81
0.18 0.86
0.22 0.47
0.01 0.57
0.44 0.55
0.12 0.18
0.11 0.73
0.62 0.04
0.43 0.51
0.32 0.48
0.27 0.1
0.65 0.64
0.04 0.85
0.25 0.55
0.95 0.8
0.13 0.57
0.24 0.19
0.53 0.3
0.75 0.54
0.49 0.05
0.65 0.28
0.29 0.58
0.78 0.6
0.35 0.07
0.7 0.35
0.19 0.36
0.52 0.45
0.36 0.05
0.28 0.54
0.98 0.43
0.92 0.85
0.65 0.11
0.36 0.7
0.43 0.16
0.77 0.31
0.01 0.48
0.16 0.4
0.09 0.62
0.92 0.79
0.16 0.01
0.14 0.62
0.62 0.06
0.2 0.34
0.19 0.42
0.26 0.7
0.99 0.47
0.67 0.25
0.64 0.5
0.88 0.07
0.07 0.35
0.54 0.31
0.02 0.39
0.12 0.25
0.95 0.83
0.73 0.81
0.77 0.96
0.44 0.35
0.95 0.92
0.3 0.26
0.45 0.97
0.46 0.51
0.77 0.06
0.3 0.19
0.31 0.81
0.57 0.16
0.94 0.55
0.16 0.67
0.73 0.43
0.22 0.33
0.38 0.13
0.52 0.23
0.72 0.94
0.69 0.55
0.71 0.36
0.64 0.66
0.03 0.14
0.92 0.94
0.06 0.44
0.19 0.11
0.73 0.87
0.96 0.46
0.86 0.69
0.96 0.13
0.83 0.15
0.03 0.56
0.5 0.13
0.2 0.96
0.42 0.64
0.13 0.09
0.1 0.15
0.88 0.98
0.34 0.16
0.76 0.69
0.64 0.86
0.11 0.06
0.91 0.43
0.48 0.74
0.54 0.76
0.74 0.57
0.06 0.33
0.69 0.24
0.88 0.4
0.67 0.78
0.12 0.95
0.1 0.85
0.91 0.93
0.31 0.74
0.32 0.6
0.14 0.77
0.34 0.9
0.78 0.77
0.54 0.84
0.98 0.81
0.88 0.37
0.43 0.42
0.98 0.48
0.68 0.19
0.94 0.04
0.36 0.27
0.28 0.92
0.97 0.07
0.96 0.09
0.51 0.96
0.9 0.04
0.24 0.96
0.31 0.73
0.31 0.85
0.24 0.72
0.94 0.37
0.27 0.78
0.63 0.56
0.82 0.98
0.76 0.9
0.64 0.89
0.53 0.92
0.87 0.2
0.19 0.78
0.42 0.84
0.6 0.66
0.4 0.37
0.55 0.23
0.08 0.43
0.32 0.55
0.49 0.43
0.33 0.8
0.97 0.39
0.8 0.3
0.46 0.81
0.85 0.4
0.93 0.43
0.87 0.67
0.69 0.78
0.71 0.17
0.18 0.23
0.65 0.29
0.94 0.58
0.51 0.41
0.59 0.94
0.4 0.72
0.99 0.27
0.15 0.03
0.73 0.69
0.5 0.34
0.66 0.42
0.77 0.68
0.39 0.9
0.99 0.01
0.63 0.54
0.45 0.26
0.23 0.03
0.06 0.57
0.74 0.72
0.66 0.17
0.35 0.79
0.84 0.29
0.67 0.38
0.82 0.59
0.05 0.35
0.39 0.2
0.14 0.28
0.43 0.33
0.93 0.76
0.26 0.99
0.03 0.72
0.6 0.92
0.59 0.3
0.91 0.64
0.62 0.65
0.56 0.97
0.86 0.19
0.75 0.05
0.76 0.93
0.03 0.83
0.43 0.06
0.39 0.25
0.92 0.6
0.16 0.49
0.07 0.43
0.87 0.75
0.18 0.76
0.78 0.57
0.41 0.77
0.01 0.72
0.52 0.65
0.71 0.16
0.11 0.25
0.74 0.8
0.17 0.9
0.38 0.45
0.7 0.2
0.13 0.77
0.8 0.75
0.62 0.78
0.29 0.13
0.47 0.65
0.1 0.2
0.89 0.18
0.75 0.01
0.33 0.84
0.93 0.47
0.35 0.62
0.16 0.04
0.33 0.41
0.04 0.65
0.03 0.63
0.77 0.46
0.14 0.54
0.19 0.19
0.45 0.7
0.85 0.3
0.87 0.9
0.27 0.81
0.35 0.31
0.27 0.21
0.22 0.42
0.55 0.89
0.18 0.06
0.13 0.97
0.74 0.36
0.12 0.48
0.9 0.51
0.95 0.75
0.96 0.22
0.93 0.58
0.79 0.29
0.61 0.69
0.52 0.16
0.31 0.99
0.02 0.42
0.29 0.36
0.64 0.53
0.99 0.83
0.36 0.54
0.99 0.8
0.28 0.97
0.38 0.96
0.08 0.97
0.46 0.67
0.69 0.66
0.6 0.38
0.28 0.31
0.03 0.47
0.95 0.17
0.91 0.63
0.31 0.5
0.88 0.19
0.87 0.81
0.92 0.55
0.47 0.61
0.3 0.87
0.13 0.46
0.63 0.7
0.26 0.84
0.44 0.23
0.28 0.33
0.81 0.22
0.68 0.99
0.54 0.38
0.62 0.7
0.82 0.23
0.65 0.16
0.75 0.37
0.21 0.23
0.61 0.63
0.19 0.74
0.95 0.76
0.3 0.77
0.03 0.27
0.17 0.48
0.61 0.33
0.63 0.88
0.86 0.46
0.49 0.39
0.45 0.36
0.64 0.03
0.14 0.97
0.04 0.69
0.16 0.11
0.56 0.6
0.39 0.17
0.8 0.33
0.05 0.02
0.4 0.61
0.8 0.25
0.9 0.56
0.9 0.42
0.61 0.15
0.99 0.36
0.6 0.56
0.89 0.24
0.29 0.25
0.52 0.92
0.53 0.06
0.01 0.9
0.44 0.97
0.28 0.52
0.04 0.77
0.52 0.9
0.85 0.34
0.74 0.59
0.93 0.84
0.71 0.63
0.7 0.57
0.85 0.04
0.56 0.62
0.33 0.16
0.36 0.72
0.74 0.16
0.55 0.79
0.07 0.81
0.39 0.66
0.27 0.6
0.74 0.08
0.4 0.17
0.36 0.28
0.25 0.13
0.09 0.87
0.7 0.68
0.63 0.95
0.41 0.35
0.33 0.66
0.41 0.95
0.26 0.33
0.56 0.52
0.58 0.87
0.69 0.32
0.99 0.73
0.85 0.03
0.12 0.87
0.69 0.56
0.92 0.77
0.47 0.14
0.35 0.72
0.4 0.27
0.95 0.86
0.7 0.75
0.57 0.52
0.89 0.52
0.86 0.08
0.87 0.98
0.27 0.11
0.04 0.84
0.73 0.19
0.14 0.22
0.18 0.42
0.99 0.35
0.78 0.1
0.03 0.28
0.15 0.39
0.26 0.87
0.04 0.75
0.63 0.55
0.74 0.61
0.58 0.98
0.45 0.85
0.21 0.42
0.9 0.87
0.85 0.9
0.16 0.17
0.78 0.16
0.46 0.73
0.55 0.36
0.25 0.21
0.57 0.85
0.36 0.3
