"gam" "nu"
0.43 0.53
0.62 0.96
0.11 0.09
0.57 0.27
0.15 0.71
0.22 0.26
0.88 0.16
0.42 0.41
0.74 0.31
0.27 0.31
0.05 0.46
0.05 0.12
0.51 0.75
0.67 0.76
0.92 0.53
0.48 0.98
0.21 0.15
0.49 0.13
0.52 0.43
0.4 0.01
0.64 0.28
0.5 0.27
0.08 0.26
0.85 0.26
0.95 0.98
0.86 0.97
0.5 0.7
0.11 0.63
0.94 0.07
0.77 0.37
0.57 0.54
0.89 0.97
0.67 0.48
0.03 0.15
0.11 0.19
0.64 0.44
0.36 0.08
0.22 0.89
0.2 0.03
0.86 0.63
0.82 0.38
0.6 0.43
0.04 0.57
0.35 0.52
0.92 0.49
0.21 0.4
0.02 0.45
0.04 0.21
0.73 0.77
0.07 0.15
0.43 0.38
0.3 0.91
0.63 0.33
0.3 0.41
0.25 0.17
0.98 0.23
0.5 0.44
0.19 0.46
0.32 0.37
0.39 0.4
0.81 0.74
0.34 0.79
0.11 0.86
0.62 0.36
0.48 0.57
0.02 0.75
0.26 0.94
0.13 0.11
0.37 0.52
0.27 0.09
0.31 0.12
0.51 0.47
0.91 0.79
0.51 0.92
0.05 0.29
0.54 0.44
0.26 0.5
0.36 0.38
0.7 0.1
0.2 0.95
0.92 0.68
0.92 0.16
0.13 0.52
0.38 0.41
0.05 0.14
0.94 0.74
0.44 0.89
0.54 0.27
0.5 0.12
0.27 0.83
0.91 0.55
0.52 0.34
0.81 0.25
0.74 0.07
0.31 0.79
0.9 0.41
0.37 0.16
0.67 0.04
0.15 0.59
0.96 0.95
0.62 0.3
0.41 0.27
0.54 0.54
0.63 0.76
0.65 0.34
0.09 0.81
0.95 0.5
0.08 0.73
0.16 0.55
0.5 0.89
0.9 0.52
0.26 0.4
0.13 0.13
0.07 0.25
0.17 0.66
0.73 0.72
0.03 0.4
0.27 0.51
0.69 0.83
0.24 0.4
0.44 0.78
0.78 0.42
0.26 0.29
0.59 0.45
0.81 0.21
0.75 0.86
0.86 0.51
0.94 0.34
0.28 0.12
0.93 0.42
0.99 0.62
0.95 0.94
0.58 0.1
0.38 0.8
0.15 0.44
0.44 0.4
0.89 0.39
0.07 0.99
0.17 0.6
0.96 0.25
0.07 0.48
0.41 0.88
0.07 0.47
0.58 0.72
0.12 0.85
0.29 0.92
0.52 0.62
0.1 0.24
0.42 0.33
0.19 0.13
0.57 0.56
0.16 0.56
0.63 0.14
0.08 0.4
0.53 0.69
0.42 0.61
0.07 0.27
0.86 0.45
0.8 0.68
0.17 0.33
0.87 0.77
0.23 0.76
0.19 0.59
0.23 0.43
0.17 0.75
0.58 0.93
0.23 0.94
0.13 0.27
0.26 0.82
0.63 0.6
0.81 0.55
0.96 0.38
0.35 0.49
0.73 0.55
0.05 0.83
0.1 0.11
0.99 0.53
0.56 0.54
0.69 0.77
0.01 0.75
0.5 0.96
0.97 0.4
0.17 0.69
0.69 0.48
0.38 0.86
0.58 0.82
0.15 0.8
0.91 0.99
0.78 0.64
0.26 0.05
0.86 0.9
0.06 0.06
0.48 0.42
0.53 0.16
0.48 0.17
0.71 0.85
0.32 0.28
0.1 0.55
0.14 0.86
0.44 0.41
0.33 0.69
0.65 0.71
0.3 0.73
0.12 0.7
0.76 0.7
0.4 0.02
0.8 0.01
0.64 0.52
0.42 0.95
0.2 0.78
0.83 0.1
0.94 0.05
0.2 0.29
0.28 0.49
0.46 0.07
0.69 0.27
0.45 0.11
0.44 0.98
0.81 0.26
0.06 0.93
0.07 0.92
0.48 0.81
0.36 0.36
0.32 0.33
0.21 0.67
0.47 0.99
0.57 0.78
0.29 0.53
0.47 0.4
0.91 0.33
0.23 0.1
0.06 0.92
0.21 0.3
0.99 0.38
0.25 0.71
0.68 0.51
0.67 0.5
0.49 0.69
0.59 0.76
0.98 0.7
0.96 0.56
0.36 0.94
0.31 0.36
0.02 0.47
0.18 0.53
0.91 0.67
0.93 0.32
0.4 0.82
0.57 0.14
0.06 0.15
0.75 0.72
0.42 0.25
0.67 0.59
0.62 0.31
0.8 0.61
0.02 0.53
0.64 0.19
0.49 0.57
0.99 0.95
0.46 0.98
0.94 0.39
0.87 0.22
0.04 0.45
0.18 0.99
0.96 0.19
0.44 0.21
0.83 0.12
0.21 0.08
0.95 0.53
0.03 0.53
0.25 0.45
0.49 0.87
0.5 0.62
0.51 0.16
0.16 0.72
0.9 0.4
0.81 0.78
0.51 0.22
0.26 0.31
0.84 0.37
0.12 0.72
0.59 0.75
0.72 0.82
0.65 0.76
0.75 0.15
0.47 0.73
0.07 0.45
0.6 0.13
0.04 0.63
0.39 0.09
0.3 0.99
0.54 0.86
0.74 0.17
0.8 0.27
0.02 0.84
0.15 0.25
0.87 0.11
0.26 0.55
0.68 0.94
0.64 0.71
0.62 0.75
0.44 0.07
0.44 0.75
0.74 0.69
0.89 0.43
0.85 0.32
0.9 0.81
0.28 0.95
0.63 0.64
0.62 0.39
0.5 0.47
0.09 0.19
0.61 0.56
0.23 0.28
0.96 0.5
0.91 0.18
0.2 0.53
0.1 0.45
0.66 0.53
0.74 0.87
0.62 0.07
0.63 0.75
0.4 0.79
0.34 0.17
0.32 0.99
