"gam" "nu"
0.87 0.87
0.35 0.25
0.76 0.74
0.03 0.46
0.88 0.11
0.43 0.17
0.14 0.19
0.37 0.89
0.05 0.71
0.89 0.45
0.05 0.72
0.4 0.35
0.06 0.77
0.82 0.49
0.78 0.01
0.46 0.5
0.65 0.58
0.2 0.3
0.07 0.07
0.27 0.95
0.34 0.29
0.53 0.23
0.67 0.15
0.49 0.34
0.19 0.44
0.59 0.24
0.02 0.76
0.35 0.87
0.35 0.76
0.99 0.07
0.19 0.24
0.82 0.46
0.09 0.36
0.19 0.26
0.71 0.59
0.56 0.4
0.76 0.86
0.32 0.34
0.41 0.58
0.46 0.26
0.71 0.32
0.72 0.9
0.99 0.19
0.73 0.75
0.98 0.67
0.06 0.27
0.68 0.97
0.92 0.07
0.05 0.1
0.97 0.17
0.46 0.15
0.62 0.57
0.94 0.63
0.79 0.41
0.44 0.68
0.96 0.4
0.69 0.63
0.4 0.12
0.09 0.77
0.99 0.64
0.45 0.49
0.46 0.11
0.91 0.58
0.26 0.52
0.87 0.29
0.51 0.3
0.56 0.13
0.63 0.59
0.43 0.01
0.8 0.93
0.26 0.34
0.14 0.08
0.36 0.92
0.33 0.12
0.28 0.28
0.67 0.16
0.17 0.45
0.29 0.12
0.17 0.04
0.98 0.54
0.13 0.02
0.49 0.66
0.37 0.43
0.21 0.49
0.79 0.07
0.29 0.88
0.45 0.19
0.96 0.68
0.32 0.61
0.15 0.74
0.08 0.72
0.26 0.42
0.45 0.47
0.02 0.85
0.25 0.66
0.02 0.4
0.76 0.34
0.46 0.32
0.77 0.48
0.11 0.24
0.12 0.55
0.85 0.59
0.36 0.22
0.2 0.46
0.13 0.23
0.63 0.87
0.58 0.52
0.4 0.97
0.19 0.02
0.3 0.37
0.34 0.74
0.49 0.52
0.26 0.72
0.91 0.86
0.87 0.73
0.7 0.47
0.96 0.62
0.59 0.89
0.08 0.89
0.76 0.17
0.28 0.17
0.06 0.21
0.69 0.25
0.77 0.81
0.15 0.98
0.91 0.37
0.23 0.63
0.39 0.03
0.12 0.51
0.42 0.04
0.65 0.24
0.89 0.15
0.43 0.62
0.1 0.38
0.87 0.59
0.15 0.76
0.25 0.79
0.11 0.94
0.33 0.48
0.54 0.46
0.1 0.74
0.46 0.84
0.53 0.43
0.62 0.16
0.48 0.1
0.12 0.47
0.05 0.18
0.41 0.31
0.85 0.93
0.56 0.37
0.79 0.01
0.01 0.09
0.51 0.21
0.05 0.49
0.09 0.76
0.98 0.93
0.21 0.5
0.34 0.71
0.46 0.23
0.12 0.11
0.32 0.13
0.96 0.91
0.17 0.93
0.09 0.05
0.19 0.76
0.5 0.61
0.82 0.84
0.23 0.73
0.29 0.24
0.42 0.56
0.56 0.2
0.92 0.52
0.07 0.65
0.07 0.78
0.95 0.33
0.06 0.64
0.49 0.51
0.64 0.35
0.81 0.41
0.19 0.68
0.9 0.48
0.61 0.81
0.55 0.71
0.83 0.51
0.34 0.42
0.1 0.39
0.23 0.13
0.35 0.17
0.56 0.81
0.71 0.19
0.4 0.86
0.75 0.33
0.14 0.61
0.57 0.84
0.86 0.22
0.66 0.93
0.31 0.75
0.45 0.54
0.95 0.21
0.79 0.15
0.49 0.21
0.92 0.78
0.94 0.46
0.04 0.43
0.61 0.77
0.9 0.12
0.58 0.51
0.6 0.5
0.86 0.87
0.22 0.66
0.64 0.79
0.16 0.88
0.42 0.85
0.93 0.18
0.7 0.28
0.49 0.12
0.21 0.01
0.33 0.82
0.59 0.44
0.24 0.74
0.93 0.74
0.68 0.32
0.9 0.09
0.97 0.8
0.56 0.03
0.74 0.45
0.53 0.09
0.92 0.42
0.15 0.14
0.14 0.8
0.38 0.85
0.02 0.2
0.88 0.73
0.59 0.47
0.56 0.56
0.45 0.71
0.76 0.13
0.6 0.76
0.65 0.74
0.64 0.73
0.15 0.41
0.6 0.01
0.23 0.56
0.42 0.26
0.98 0.09
0.79 0.54
0.43 0.25
0.2 0.79
0.58 0.09
0.61 0.41
0.07 0.74
0.08 0.46
0.53 0.07
0.5 0.87
0.99 0.17
0.21 0.61
0.44 0.15
0.41 0.93
0.66 0.39
0.24 0.09
0.85 0.72
0.47 0.87
0.34 0.39
0.54 0.79
0.39 0.7
0.49 0.31
0.33 0.6
0.85 0.21
0.07 0.23
0.11 0.5
0.86 0.37
0.43 0.66
0.11 0.26
0.53 0.01
0.77 0.85
0.8 0.2
0.6 0.74
0.08 0.87
0.41 0.83
0.49 0.17
0.23 0.17
0.76 0.85
0.71 0.04
0.07 0.12
0.22 0.14
0.82 0.44
0.22 0.02
0.4 0.81
0.32 0.09
0.56 0.1
0.77 0.63
0.37 0.37
0.81 0.1
0.95 0.15
0.2 0.11
0.96 0.73
0.86 0.36
0.13 0.84
0.53 0.84
0.72 0.36
0.8 0.49
0.43 0.56
0.91 0.78
0.34 0.35
0.23 0.29
0.45 0.38
0.61 0.18
0.53 0.14
0.41 0.14
0.29 0.84
0.7 0.85
0.53 0.45
0.1 0.46
0.08 0.37
0.05 0.8
0.48 0.31
0.57 0.1
0.09 0.99
0.82 0.86
0.81 0.31
0.88 0.04
0.65 0.35
0.98 0.87
0.84 0.05
0.52 0.09
0.67 0.89
0.92 0.63
0.82 0.31
0.48 0.84
0.37 0.87
0.06 0.24
0.9 0.53
0.61 0.22
0.82 0.3
0.38 0.46
0.98 0.19
0.57 0.4
0.05 0.2
0.69 0.84
0.7 0.23
0.63 0.04
0.8 0.03
0.75 0.02
0.57 0.13
0.31 0.98
0.72 0.3
0.48 0.89
0.82 0.61
0.76 0.62
0.61 0.94
0.64 0.15
0.53 0.2
0.16 0.27
0.02 0.06
0.8 0.18
0.84 0.31
0.03 0.71
0.8 0.41
0.68 0.92
0.32 0.57
0.73 0.96
0.22 0.68
0.08 0.63
0.76 0.14
0.22 0.74
0.36 0.53
0.59 0.17
0.62 0.91
0.35 0.99
0.66 0.67
0.97 0.93
0.55 0.56
0.2 0.44
0.77 0.71
0.9 0.84
0.19 0.49
0.79 0.65
0.36 0.23
0.61 0.37
0.2 0.42
0.46 0.75
0.95 0.69
0.51 0.44
0.18 0.17
0.41 0.76
0.62 0.29
0.18 0.28
0.79 0.22
0.4 0.83
0.41 0.53
0.92 0.43
0.97 0.72
0.25 0.84
0.79 0.06
0.38 0.79
0.4 0.95
0.63 0.47
0.76 0.76
0.17 0.55
0.63 0.22
0.55 0.25
0.94 0.15
0.43 0.4
0.77 0.03
0.78 0.69
0.67 0.01
0.15 0.66
0.38 0.27
0.91 0.61
0.8 0.67
0.02 0.1
0.5 0.95
0.84 0.04
0.26 0.78
0.11 0.48
0.26 0.47
0.38 0.83
0.22 0.67
0.24 0.81
0.28 0.93
0.99 0.2
0.44 0.02
0.31 0.34
0.05 0.81
0.69 0.57
0.27 0.46
0.58 0.79
0.66 0.68
0.65 0.96
0.61 0.2
0.3 0.62
0.67 0.2
0.93 0.97
0.29 0.3
0.57 0.02
0.89 0.5
0.84 0.82
0.37 0.1
0.36 0.88
0.2 0.6
0.79 0.96
0.69 0.38
0.47 0.49
0.7 0.29
0.25 0.47
0.77 0.62
0.08 0.36
0.9 0.55
0.17 0.32
0.26 0.3
0.37 0.96
0.02 0.68
0.04 0.91
0.22 0.95
0.23 0.71
0.18 0.62
0.04 0.08
0.35 0.75
0.91 0.08
0.55 0.94
0.81 0.59
0.69 0.01
0.2 0.12
0.48 0.04
0.74 0.46
0.9 0.39
0.63 0.58
0.7 0.98
0.48 0.36
0.37 0.62
0.82 0.79
0.21 0.52
0.13 0.93
0.63 0.19
0.4 0.13
0.3 0.96
0.31 0.43
0.5 0.37
0.8 0.46
0.75 0.55
0.46 0.19
0.76 0.31
0.23 0.65
0.87 0.35
0.11 0.2
0.95 0.41
0.25 0.42
0.72 0.09
0.21 0.36
0.15 0.96
0.51 0.43
0.55 0.75
0.59 0.65
0.73 0.35
0.46 0.18
0.86 0.14
0.87 0.31
0.94 0.06
0.93 0.63
0.99 0.1
0.43 0.6
0.87 0.26
0.17 0.58
0.96 0.85
0.44 0.61
0.34 0.02
0.31 0.68
0.93 0.73
0.54 0.01
0.55 0.77
0.86 0.99
0.68 0.44
0.2 0.25
0.43 0.74
0.84 0.44
0.76 0.77
0.03 0.3
0.02 0.26
0.21 0.45
0.68 0.52
0.88 0.17
0.53 0.05
0.47 0.84
0.64 0.02
0.72 0.31
0.27 0.68
0.55 0.17
0.7 0.97
0.2 0.82
0.72 0.92
0.59 0.62
0.99 0.65
0.79 0.93
0.47 0.67
0.34 0.86
0.01 0.84
0.16 0.31
0.72 0.16
0.03 0.45
0.8 0.57
0.57 0.91
0.4 0.76
0.25 0.98
0.52 0.11
0.13 0.58
0.99 0.75
0.15 0.89
0.25 0.64
0.63 0.26
0.52 0.89
0.49 0.1
0.16 0.26
0.31 0.08
0.61 0.84
0.04 0.24
0.02 0.66
0.43 0.08
0.75 0.12
0.87 0.53
0.09 0.7
0.1 0.08
0.82 0.08
0.07 0.42
0.75 0.17
0.79 0.37
0.98 0.57
0.45 0.13
0.15 0.37
0.77 0.65
0.18 0.82
0.7 0.18
0.2 0.02
0.97 0.29
0.29 0.28
0.31 0.61
0.05 0.3
0.78 0.99
0.08 0.34
0.1 0.13
0.87 0.21
0.24 0.61
0.86 0.59
0.57 0.49
0.03 0.9
0.88 0.66
0.5 0.82
0.2 0.23
0.59 0.51
0.58 0.56
0.65 0.46
0.47 0.95
0.28 0.01
0.26 0.71
0.83 0.74
0.4 0.36
0.5 0.19
0.25 0.06
0.06 0.22
0.98 0.63
0.64 0.46
0.19 0.75
0.12 0.96
0.12 0.89
0.86 0.65
0.32 0.97
0.03 0.89
0.26 0.86
0.14 0.23
0.81 0.71
0.53 0.21
0.9 0.9
0.62 0.26
0.14 0.24
0.86 0.57
0.51 0.65
0.66 0.34
0.07 0.28
0.08 0.54
0.51 0.04
0.34 0.44
0.56 0.18
0.91 0.23
0.38 0.61
