"gam" "nu"
0.58 0.75
0.08 0.48
0.8 0.89
0.89 0.54
0.64 0.06
0.3 0.68
0.31 0.62
0.35 0.7
0.12 0.08
0.02 0.79
0.42 0.08
0.55 0.14
0.03 0.73
0.25 0.74
0.59 0.66
0.64 0.17
0.53 0.58
0.85 0.99
0.97 0.32
0.92 0.7
0.13 0.83
0.07 0.72
0.04 0.97
0.07 0.37
0.81 0.29
0.45 0.02
0.24 0.73
0.2 0.49
0.86 0.83
0.26 0.37
0.57 0.7
0.44 0.87
0.99 0.89
0.11 0.87
0.7 0.7
0.22 0.73
0.45 0.66
0.11 0.04
0.82 0.74
0.78 0.91
0.3 0.18
0.91 0.45
0.28 0.06
0.48 0.64
0.68 0.26
0.75 0.95
0.18 0.55
0.89 0.28
0.12 0.12
0.1 0.84
0.24 0.67
0.57 0.46
0.18 0.66
0.72 0.41
0.19 0.33
0.4 0.71
0.77 0.3
0.36 0.33
0.09 0.75
0.32 0.02
0.78 0.11
0.67 0.68
0.46 0.72
0.25 0.68
0.77 0.27
0.55 0.4
0.35 0.13
0.48 0.07
0.16 0.82
0.14 0.17
0.86 0.81
0.51 0.1
0.87 0.01
0.54 0.41
0.63 0.99
0.89 0.23
0.54 0.02
0.12 0.27
0.41 0.4
0.6 0.16
0.1 0.22
0.63 0.62
0.65 0.59
0.6 0.27
0.15 0.04
0.82 0.69
0.78 0.51
0.1 0.6
0.81 0.39
0.47 0.42
0.93 0.21
0.84 0.73
0.41 0.91
0.91 0.84
0.7 0.56
0.63 0.66
0.88 0.14
0.29 0.08
0.77 0.53
0.2 0.92
0.19 0.28
0.23 0.7
0.87 0.85
0.45 0.25
0.9 0.91
0.5 0.41
0.24 0.23
0.33 0.65
0.59 0.81
0.05 0.64
0.97 0.2
0.27 0.04
0.36 0.41
0.15 0.7
0.48 0.76
0.25 0.12
0.17 0.39
0.68 0.23
0.36 0.91
0.23 0.06
0.69 0.4
0.88 0.3
0.47 0.11
0.48 0.8
0.09 0.46
0.72 0.56
0.98 0.02
0.35 0.19
0.13 0.38
0.98 0.82
0.14 0.21
0.72 0.54
0.95 0.3
0.38 0.81
0.05 0.62
0.86 0.88
0.97 0.1
0.92 0.35
0.47 0.93
0.09 0.28
0.29 0.82
0.58 0.88
0.61 0.79
0.09 0.03
0.86 0.16
0.17 0.41
0.52 0.17
0.26 0.79
0.08 0.68
0.67 0.17
0.21 0.27
0.1 0.26
0.46 0.87
0.99 0.78
0.98 0.33
0.43 0.63
0.99 0.63
0.14 0.1
0.98 0.47
0.52 0.56
0.77 0.82
0.06 0.58
0.06 0.81
0.3 0.61
0.41 0.42
0.85 0.54
0.38 0.09
0.45 0.12
0.05 0.86
0.02 0.65
0.39 0.35
0.21 0.59
0.66 0.81
0.39 0.87
0.63 0.74
0.92 0.06
0.09 0.66
0.74 0.71
0.34 0.11
0.08 0.35
0.62 0.15
0.85 0.85
0.96 0.34
0.45 0.59
0.88 0.84
0.13 0.2
0.15 0.23
0.64 0.88
0.86 0.6
0.6 0.25
0.98 0.24
0.17 0.96
0.51 0.78
0.74 0.14
0.79 0.69
0.64 0.2
0.35 0.1
0.43 0.46
0.57 0.67
0.39 0.89
0.66 0.13
0.1 0.82
0.28 0.15
0.98 0.84
0.33 0.36
0.6 0.37
0.9 0.82
0.29 0.54
0.61 0.3
0.16 0.52
0.23 0.39
0.2 0.72
0.2 0.21
0.28 0.27
0.57 0.73
0.59 0.02
0.83 0.88
0.36 0.58
0.33 0.44
0.73 0.6
0.81 0.34
0.3 0.35
0.78 0.79
0.63 0.08
0.06 0.68
0.85 0.36
0.98 0.69
0.8 0.77
0.22 0.48
0.11 0.62
0.02 0.09
0.72 0.93
0.54 0.72
0.34 0.82
0.58 0.61
0.84 0.98
0.69 0.08
0.55 0.66
0.79 0.52
0.99 0.88
0.97 0.73
0.53 0.91
0.31 0.15
0.13 0.47
0.46 0.74
0.14 0.29
0.85 0.29
0.77 0.89
0.12 0.67
0.25 0.2
0.07 0.84
0.98 0.42
0.72 0.81
0.75 0.44
0.63 0.44
0.84 0.03
0.78 0.27
0.13 0.41
0.11 0.18
0.55 0.46
0.28 0.3
0.34 0.06
0.53 0.64
0.74 0.88
0.54 0.95
0.11 0.9
0.42 0.48
0.79 0.19
0.02 0.56
0.48 0.12
0.56 0.24
0.09 0.56
0.62 0.61
0.36 0.24
0.41 0.61
0.44 0.7
0.48 0.13
0.84 0.15
0.71 0.14
0.06 0.65
0.24 0.66
0.85 0.49
0.08 0.18
0.26 0.46
0.18 0.14
0.84 0.41
0.98 0.41
0.21 0.41
0.99 0.26
0.25 0.65
0.3 0.29
0.19 0.54
0.78 0.49
0.4 0.06
0.04 0.61
0.29 0.34
0.32 0.84
0.69 0.29
0.39 0.06
0.76 0.71
0.75 0.76
0.21 0.74
0.7 0.31
0.86 0.39
0.14 0.88
0.51 0.91
0.5 0.36
0.71 0.7
0.86 0.94
0.87 0.8
0.12 0.94
0.71 0.64
0.06 0.7
0.92 0.89
0.88 0.76
0.9 0.34
0.42 0.42
0.11 0.52
0.37 0.48
0.6 0.6
0.22 0.82
0.75 0.9
0.99 0.51
0.51 0.84
0.93 0.82
0.98 0.39
0.85 0.47
0.9 0.14
0.16 0.91
0.66 0.45
0.71 0.22
0.68 0.9
0.08 0.81
0.5 0.67
0.28 0.56
0.67 0.4
0.68 0.5
0.29 0.95
0.96 0.75
0.54 0.57
0.79 0.97
0.18 0.98
0.79 0.59
0.04 0.05
0.37 0.03
0.66 0.33
0.05 0.88
0.81 0.15
0.22 0.81
0.94 0.61
0.92 0.74
0.97 0.52
0.84 0.68
0.37 0.35
0.67 0.81
0.77 0.47
0.23 0.98
0.87 0.91
0.61 0.92
0.39 0.94
0.68 0.37
0.02 0.38
0.47 0.58
0.43 0.5
0.43 0.24
0.27 0.97
0.04 0.78
0.11 0.03
0.35 0.24
0.04 0.16
0.24 0.65
0.08 0.07
0.26 0.09
0.05 0.5
0.67 0.1
0.31 0.55
0.31 0.39
0.09 0.57
0.61 0.62
0.74 0.54
0.03 0.77
0.2 0.98
0.69 0.31
0.95 0.7
0.39 0.15
0.97 0.45
0.97 0.22
0.16 0.99
0.72 0.53
0.65 0.9
0.73 0.26
0.48 0.66
0.63 0.28
0.69 0.76
0.18 0.58
0.39 0.96
0.66 0.07
0.15 0.82
0.27 0.33
0.11 0.32
0.23 0.62
0.67 0.62
0.14 0.01
0.22 0.39
0.6 0.99
0.74 0.25
0.93 0.35
0.2 0.05
0.7 0.84
0.24 0.35
0.36 0.13
0.91 0.96
0.56 0.26
0.45 0.1
0.9 0.89
0.58 0.2
0.6 0.79
0.35 0.59
0.07 0.05
0.35 0.34
0.56 0.49
0.73 0.44
0.72 0.79
0.02 0.11
0.12 0.76
0.69 0.59
0.12 0.05
0.2 0.35
0.56 0.87
0.95 0.72
0.33 0.23
0.42 0.46
0.03 0.34
0.39 0.55
0.59 0.07
0.45 0.78
0.85 0.44
0.39 0.12
0.44 0.39
0.54 0.56
0.02 0.58
0.02 0.93
0.16 0.65
0.02 0.57
0.68 0.72
0.59 0.71
0.28 0.22
0.31 0.3
0.26 0.26
0.7 0.88
0.63 0.82
0.43 0.21
0.24 0.6
0.31 0.32
0.1 0.79
0.96 0.04
0.07 0.1
0.89 0.87
0.66 0.11
0.98 0.01
0.5 0.94
0.97 0.35
0.15 0.81
0.71 0.98
0.89 0.7
0.32 0.52
0.79 0.94
0.41 0.21
0.14 0.75
0.54 0.28
0.95 0.07
0.7 0.01
0.14 0.4
0.41 0.86
0.18 0.97
0.94 0.42
0.3 0.49
0.05 0.07
0.03 0.88
0.05 0.59
0.14 0.04
0.25 0.72
0.17 0.91
0.37 0.33
0.17 0.25
0.49 0.37
0.26 0.89
0.59 0.46
0.91 0.06
0.28 0.6
0.72 0.04
0.18 0.81
0.76 0.48
0.14 0.94
0.72 0.28
0.82 0.96
0.39 0.01
0.62 0.53
0.38 0.67
0.6 0.34
0.18 0.75
0.82 0.27
0.61 0.89
0.3 0.97
0.97 0.37
0.25 0.36
0.37 0.75
0.54 0.08
0.27 0.43
0.65 0.78
0.01 0.1
0.47 0.32
0.36 0.73
0.7 0.12
0.32 0.27
0.96 0.71
0.5 0.38
0.98 0.77
0.94 0.59
0.66 0.15
0.91 0.31
0.82 0.07
0.91 0.98
0.99 0.24
0.43 0.67
0.08 0.76
0.02 0.27
0.69 0.49
0.28 0.37
0.39 0.38
0.13 0.92
0.16 0.74
0.95 0.71
0.88 0.6
0.3 0.69
0.04 0.74
0.86 0.5
0.15 0.11
0.94 0.16
0.95 0.63
0.95 0.45
0.62 0.01
0.96 0.6
0.52 0.05
0.7 0.93
