"gam" "nu"
0.15 0.28
0.9 0.64
0.54 0.05
0.15 0.2
0.76 0.35
0.16 0.08
0.45 0.73
0.22 0.55
0.84 0.36
0.5 0.71
0.36 0.76
0.54 0.29
0.3 0.58
0.68 0.41
0.48 0.18
0.26 0.1
0.52 0.49
0.25 0.4
0.16 0.07
0.27 0.96
0.73 0.16
0.98 0.17
0.78 0.93
0.1 0.16
0.97 0.95
0.84 0.97
0.88 0.94
0.5 0.81
0.72 0.78
0.38 0.36
0.17 0.85
0.89 0.69
0.49 0.41
0.3 0.82
0.14 0.13
0.42 0.88
0.13 0.01
0.97 0.96
0.25 0.87
0.93 0.98
0.09 0.43
0.76 0.27
0.01 0.54
0.35 0.04
0.69 0.71
0.61 0.5
0.12 0.04
0.66 0.24
0.04 0.19
0.24 0.51
0.59 0.1
0.67 0.73
0.85 0.35
0.87 0.55
0.28 0.34
0.41 0.49
0.8 0.32
0.93 0.31
0.05 0.93
0.69 0.89
0.01 0.51
0.73 0.14
0.54 0.6
0.05 0.37
0.62 0.5
0.03 0.59
0.27 0.29
0.35 0.01
0.32 0.83
0.73 0.45
0.89 0.09
0.74 0.21
0.41 0.97
0.37 0.56
0.11 0.27
0.78 0.5
0.05 0.51
0.46 0.01
0.16 0.42
0.35 0.14
0.65 0.97
0.2 0.84
0.17 0.34
0.31 0.28
0.04 0.32
0.32 0.87
0.76 0.94
0.14 0.32
0.26 0.98
0.42 0.17
0.47 0.48
0.26 0.08
0.92 0.09
0.9 0.36
0.98 0.12
0.3 0.86
0.49 0.6
0.54 0.52
0.88 0.23
0.04 0.25
0.42 0.97
0.84 0.77
0.38 0.4
0.28 0.36
0.04 0.59
0.81 0.45
0.51 0.64
0.87 0.15
0.43 0.49
0.37 0.24
0.58 0.18
0.67 0.92
0.78 0.05
0.35 0.53
0.88 0.72
0.17 0.59
0.24 0.77
0.94 0.51
0.28 0.43
0.05 0.36
0.87 0.57
0.66 0.06
0.49 0.99
0.43 0.93
0.24 0.99
0.93 0.95
0.46 0.28
0.04 0.42
0.68 0.09
0.71 0.57
0.79 0.62
0.49 0.29
0.78 0.07
0.88 0.75
0.26 0.53
0.38 0.48
0.58 0.84
0.49 0.91
0.71 0.87
0.63 0.63
0.27 0.86
0.06 0.28
0.57 0.12
0.51 0.54
0.29 0.99
0.88 0.22
0.9 0.16
0.25 0.61
0.28 0.4
0.9 0.63
0.02 0.22
0.63 0.25
0.55 0.16
0.36 0.67
0.85 0.41
0.24 0.41
0.7 0.4
0.86 0.27
0.38 0.95
0.51 0.42
0.93 0.87
0.22 0.41
0.3 0.01
0.7 0.91
0.47 0.07
0.73 0.86
0.36 0.39
0.02 0.44
0.85 0.19
0.6 0.05
0.21 0.89
0.24 0.46
0.61 0.76
0.57 0.2
0.81 0.62
0.7 0.79
0.49 0.23
0.49 0.65
0.86 0.58
0.54 0.2
0.66 0.84
0.86 0.62
0.22 0.63
0.13 0.64
0.07 0.01
0.6 0.22
0.54 0.62
0.84 0.54
0.05 0.56
0.93 0.88
0.49 0.62
0.73 0.39
0.25 0.57
0.9 0.83
0.32 0.88
0.52 0.35
0.2 0.04
0.45 0.37
0.82 0.19
0.75 0.47
0.96 0.67
0.28 0.73
0.18 0.47
0.35 0.22
0.46 0.71
0.91 0.29
0.47 0.69
0.05 0.33
0.51 0.77
0.97 0.27
0.59 0.11
0.37 0.58
0.16 0.76
0.41 0.07
0.32 0.16
0.16 0.37
0.36 0.62
0.93 0.3
0.18 0.16
0.57 0.63
0.72 0.68
0.95 0.47
0.71 0.49
0.21 0.37
0.66 0.37
0.3 0.75
0.5 0.79
0.62 0.98
0.45 0.6
0.95 0.28
0.18 0.93
0.14 0.41
0.52 0.96
0.78 0.58
0.13 0.5
0.21 0.64
0.94 0.84
0.57 0.41
0.91 0.76
0.8 0.48
0.86 0.82
0.37 0.67
0.86 0.07
0.31 0.13
0.88 0.62
0.59 0.8
0.63 0.67
0.67 0.22
0.33 0.37
0.18 0.46
0.12 0.53
0.02 0.15
0.05 0.17
0.55 0.35
0.49 0.75
0.56 0.65
0.61 0.8
0.93 0.68
0.92 0.86
0.07 0.87
0.93 0.22
0.91 0.24
0.95 0.36
0.36 0.99
0.58 0.15
0.17 0.11
0.11 0.91
0.19 0.43
0.95 0.18
0.98 0.61
0.33 0.93
0.55 0.43
0.81 0.32
0.67 0.49
0.58 0.62
0.73 0.28
0.79 0.92
0.13 0.78
0.67 0.11
0.59 0.59
0.39 0.53
0.3 0.93
0.57 0.04
0.47 0.9
0.6 0.93
0.73 0.01
0.87 0.71
0.44 0.88
0.86 0.13
0.12 0.88
0.09 0.14
0.36 0.1
0.43 0.09
0.74 0.09
0.47 0.02
0.96 0.97
0.35 0.44
0.1 0.01
0.66 0.73
0.99 0.97
0.95 0.04
0.4 0.88
0.75 0.41
0.5 0.23
0.79 0.12
0.38 0.44
0.32 0.59
0.95 0.49
0.7 0.9
0.15 0.64
0.99 0.34
0.42 0.82
0.27 0.71
0.61 0.39
0.06 0.42
0.57 0.5
0.7 0.49
0.77 0.88
0.86 0.26
0.38 0.18
0.89 0.4
0.62 0.43
0.58 0.03
0.21 0.17
0.87 0.32
0.41 0.03
0.49 0.76
0.11 0.3
0.62 0.27
0.19 0.41
0.63 0.17
0.66 0.14
0.78 0.95
0.71 0.8
0.32 0.14
0.27 0.06
0.27 0.16
0.03 0.54
0.82 0.2
0.84 0.72
0.26 0.81
0.42 0.32
0.55 0.99
0.85 0.77
0.41 0.08
0.94 0.92
0.04 0.54
0.94 0.65
0.35 0.67
0.03 0.52
0.23 0.57
0.36 0.43
0.87 0.42
0.16 0.48
0.14 0.15
0.73 0.54
0.92 0.26
0.64 0.81
0.25 0.29
0.51 0.37
0.7 0.64
0.23 0.61
0.59 0.43
0.22 0.13
0.09 0.55
0.59 0.32
0.64 0.7
0.63 0.73
0.88 0.74
0.17 0.3
0.64 0.93
0.9 0.05
0.63 0.42
0.37 0.25
0.97 0.38
0.85 0.58
0.66 0.59
0.37 0.19
0.38 0.52
0.02 0.83
0.29 0.62
0.85 0.27
0.45 0.46
0.2 0.87
0.25 0.37
0.54 0.55
0.52 0.95
0.4 0.24
0.54 0.4
0.32 0.66
0.45 0.39
0.67 0.79
0.19 0.69
0.21 0.11
0.01 0.63
0.57 0.29
0.13 0.88
0.13 0.48
0.04 0.37
0.08 0.61
0.46 0.06
0.59 0.06
0.72 0.76
0.98 0.94
0.4 0.26
0.98 0.49
0.3 0.25
0.73 0.27
0.79 0.9
0.76 0.39
0.23 0.53
0.3 0.65
0.49 0.96
0.67 0.36
0.72 0.21
0.6 0.71
0.33 0.67
0.19 0.04
0.53 0.9
0.66 0.96
0.02 0.33
0.22 0.04
0.1 0.97
0.58 0.78
0.91 0.15
0.95 0.03
0.42 0.22
0.5 0.6
0.21 0.57
0.08 0.5
0.6 0.7
0.07 0.54
0.28 0.24
0.53 0.59
0.27 0.03
0.24 0.28
0.23 0.5
0.39 0.44
0.19 0.16
0.87 0.76
0.46 0.02
0.81 0.72
0.16 0.25
0.71 0.82
0.14 0.26
0.49 0.9
0.9 0.77
0.75 0.23
0.79 0.84
0.98 0.99
0.05 0.99
0.9 0.92
0.17 0.84
0.35 0.89
0.75 0.03
0.39 0.14
0.83 0.73
0.49 0.44
0.47 0.09
0.9 0.33
0.33 0.42
0.94 0.19
0.44 0.17
0.38 0.5
0.6 0.97
0.16 0.21
0.47 0.88
0.67 0.27
0.34 0.98
0.53 0.42
0.03 0.91
0.39 0.05
0.86 0.93
0.73 0.51
0.77 0.51
0.22 0.8
0.46 0.29
0.22 0.31
0.51 0.69
0.23 0.34
0.5 0.43
0.02 0.6
0.66 0.03
0.83 0.61
0.05 0.67
0.63 0.9
0.88 0.02
0.69 0.69
