"gam" "nu"
0.82 0.63
0.29 0.15
0.01 0.74
0.39 0.04
0.64 0.45
0.17 0.15
0.43 0.92
0.45 0.89
0.85 0.74
0.65 0.8
0.98 0.5
0.89 0.33
0.41 0.57
0.99 0.93
0.23 0.36
0.14 0.12
0.72 0.22
0.54 0.87
0.1 0.94
0.74 0.51
0.98 0.31
0.05 0.6
0.49 0.03
0.85 0.17
0.59 0.93
0.9 0.79
0.87 0.13
0.63 0.02
0.86 0.72
0.77 0.7
0.96 0.33
0.87 0.48
0.55 0.26
0.3 0.39
0.65 0.79
0.65 0.19
0.34 0.93
0.12 0.07
0.05 0.76
0.31 0.14
0.16 0.63
0.81 0.47
0.27 0.26
0.95 0.48
0.45 0.22
0.93 0.7
0.77 0.95
0.09 0.25
0.85 0.86
0.64 0.47
0.62 0.94
0.97 0.41
0.59 0.21
0.08 0.91
0.49 0.26
0.94 0.69
0.4 0.09
0.69 0.7
0.01 0.35
0.43 0.9
0.14 0.85
0.28 0.48
0.73 0.68
0.38 0.17
0.85 0.67
0.77 0.05
0.4 0.84
0.6 0.29
0.94 0.53
0.75 0.32
0.15 0.21
0.92 0.19
0.07 0.4
0.44 0.99
0.73 0.53
0.1 0.52
0.47 0.37
0.47 0.91
0.78 0.15
0.47 0.57
0.33 0.27
0.93 0.23
0.88 0.51
0.57 0.64
0.92 0.22
0.9 0.35
0.75 0.66
0.38 0.55
0.72 0.73
0.47 0.19
0.72 0.08
0.86 0.89
0.56 0.99
0.2 0.88
0.05 0.21
0.82 0.68
0.82 0.29
0.94 0.32
0.35 0.83
0.67 0.02
0.04 0.06
0.93 0.1
0.66 0.38
0.05 0.08
0.64 0.85
0.92 0.34
0.33 0.11
0.99 0.4
0.17 0.79
0.46 0.76
0.8 0.52
0.42 0.92
0.11 0.74
0.05 0.53
0.56 0.08
0.82 0.26
0.66 0.3
0.76 0.26
0.9 0.67
0.53 0.55
0.41 0.8
0.94 0.11
0.3 0.53
0.2 0.89
0.83 0.83
0.29 0.03
0.32 0.49
0.75 0.77
0.16 0.46
0.27 0.28
0.82 0.35
0.53 0.03
0.33 0.33
0.06 0.39
0.74 0.83
0.69 0.86
0.08 0.17
0.88 0.87
0.9 0.25
0.7 0.63
0.55 0.68
0.95 0.1
0.36 0.5
0.71 0.53
0.2 0.32
0.42 0.76
0.01 0.61
0.19 0.21
0.48 0.59
0.85 0.61
0.35 0.81
0.71 0.89
0.59 0.63
0.86 0.52
0.06 0.02
0.6 0.61
0.86 0.25
0.31 0.82
0.11 0.33
0.35 0.27
0.13 0.67
0.14 0.42
0.52 0.54
0.61 0.57
0.63 0.05
0.41 0.02
0.82 0.56
0.87 0.54
0.54 0.1
0.01 0.98
0.17 0.01
0.45 0.31
0.85 0.28
0.37 0.57
0.14 0.64
0.67 0.88
0.81 0.87
0.19 0.05
0.91 0.59
0.3 0.45
0.31 0.86
0.93 0.36
0.84 0.76
0.46 0.94
0.14 0.6
0.08 0.33
0.55 0.05
0.58 0.11
0.28 0.42
0.56 0.31
0.61 0.86
0.79 0.67
0.13 0.9
0.61 0.85
0.14 0.48
0.03 0.86
0.92 0.93
0.18 0.21
0.81 0.88
0.23 0.2
0.67 0.86
0.54 0.69
0.19 0.88
0.69 0.26
0.72 0.71
0.69 0.62
0.12 0.22
0.81 0.65
0.44 0.37
0.76 0.51
0.83 0.76
0.34 0.43
0.6 0.44
0.66 0.61
0.49 0.25
0.7 0.25
0.01 0.15
0.17 0.13
0.65 0.03
0.73 0.49
0.18 0.25
0.89 0.03
0.02 0.77
0.33 0.89
0.48 0.16
0.82 0.01
0.76 0.89
0.56 0.75
0.65 0.48
0.95 0.57
0.68 0.54
0.37 0.84
0.25 0.04
0.38 0.68
0.27 0.23
0.44 0.24
0.12 0.28
0.68 0.3
0.01 0.04
0.45 0.74
0.29 0.83
0.69 0.95
0.77 0.54
0.39 0.52
0.34 0.07
0.72 0.57
0.15 0.51
0.71 0.29
0.21 0.24
0.93 0.86
0.85 0.71
0.92 0.05
0.51 0.51
0.19 0.5
0.33 0.35
0.33 0.57
0.85 0.63
0.06 0.04
